Date,State,TotalSamples,Negative,Positive
2020-06-30,Andaman and Nicobar Islands,15709.0,,97.0
2020-07-01,Andaman and Nicobar Islands,15982.0,,100.0
2020-07-02,Andaman and Nicobar Islands,16278.0,,109.0
2020-07-03,Andaman and Nicobar Islands,16626.0,,116.0
2020-07-04,Andaman and Nicobar Islands,16832.0,,119.0
2020-07-05,Andaman and Nicobar Islands,16909.0,,125.0
2020-07-06,Andaman and Nicobar Islands,17095.0,,141.0
2020-07-07,Andaman and Nicobar Islands,17381.0,,147.0
2020-07-08,Andaman and Nicobar Islands,17643.0,,149.0
2020-07-09,Andaman and Nicobar Islands,17852.0,,151.0
2020-07-10,Andaman and Nicobar Islands,18046.0,,156.0
2020-07-11,Andaman and Nicobar Islands,18315.0,,163.0
2020-07-12,Andaman and Nicobar Islands,18447.0,,163.0
2020-07-13,Andaman and Nicobar Islands,18609.0,,166.0
2020-07-14,Andaman and Nicobar Islands,18884.0,,171.0
2020-07-15,Andaman and Nicobar Islands,19061.0,,176.0
2020-07-16,Andaman and Nicobar Islands,19227.0,,180.0
2020-07-17,Andaman and Nicobar Islands,19421.0,,194.0
2020-07-18,Andaman and Nicobar Islands,19671.0,,198.0
2020-07-19,Andaman and Nicobar Islands,19904.0,,203.0
2020-07-20,Andaman and Nicobar Islands,20301.0,,207.0
2020-07-21,Andaman and Nicobar Islands,20642.0,,212.0
2020-07-22,Andaman and Nicobar Islands,21043.0,,221.0
2020-07-23,Andaman and Nicobar Islands,21310.0,,240.0
2020-07-24,Andaman and Nicobar Islands,21743.0,,259.0
2020-07-25,Andaman and Nicobar Islands,21965.0,,290.0
2020-07-26,Andaman and Nicobar Islands,22049.0,,324.0
2020-07-27,Andaman and Nicobar Islands,22548.0,,338.0
2020-07-28,Andaman and Nicobar Islands,22925.0,,363.0
2020-07-29,Andaman and Nicobar Islands,23217.0,,428.0
2020-07-30,Andaman and Nicobar Islands,23615.0,,471.0
2020-07-31,Andaman and Nicobar Islands,24038.0,,548.0
2020-08-01,Andaman and Nicobar Islands,24308.0,,636.0
2020-08-02,Andaman and Nicobar Islands,24580.0,,734.0
2020-08-03,Andaman and Nicobar Islands,25034.0,,830.0
2020-08-04,Andaman and Nicobar Islands,25492.0,,928.0
2020-08-05,Andaman and Nicobar Islands,25826.0,,1027.0
2020-08-06,Andaman and Nicobar Islands,26516.0,,1123.0
2020-08-07,Andaman and Nicobar Islands,26915.0,,1222.0
2020-08-08,Andaman and Nicobar Islands,27073.0,,1351.0
2020-08-09,Andaman and Nicobar Islands,27103.0,,1490.0
2020-08-10,Andaman and Nicobar Islands,27346.0,,1625.0
2020-08-11,Andaman and Nicobar Islands,27455.0,,1764.0
2020-08-12,Andaman and Nicobar Islands,27744.0,,1900.0
2020-08-13,Andaman and Nicobar Islands,27973.0,,2037.0
2020-08-14,Andaman and Nicobar Islands,28129.0,,2186.0
2020-08-15,Andaman and Nicobar Islands,28209.0,,2306.0
2020-08-16,Andaman and Nicobar Islands,28229.0,,2399.0
2020-08-17,Andaman and Nicobar Islands,28672.0,,2445.0
2020-08-18,Andaman and Nicobar Islands,28937.0,,2529.0
2020-08-19,Andaman and Nicobar Islands,29303.0,,2604.0
2020-08-20,Andaman and Nicobar Islands,29487.0,,2680.0
2020-08-21,Andaman and Nicobar Islands,29573.0,,2747.0
2020-08-22,Andaman and Nicobar Islands,29888.0,,2808.0
2020-08-23,Andaman and Nicobar Islands,30278.0,,2860.0
2020-08-24,Andaman and Nicobar Islands,30513.0,,2904.0
2020-08-25,Andaman and Nicobar Islands,31082.0,,2945.0
2020-08-26,Andaman and Nicobar Islands,31646.0,,2985.0
2020-08-27,Andaman and Nicobar Islands,31830.0,,3018.0
2020-08-28,Andaman and Nicobar Islands,32100.0,,3050.0
2020-08-29,Andaman and Nicobar Islands,32407.0,,3081.0
2020-08-30,Andaman and Nicobar Islands,32674.0,,3104.0
2020-08-31,Andaman and Nicobar Islands,33485.0,,3132.0
2020-09-01,Andaman and Nicobar Islands,35104.0,,3160.0
2020-09-02,Andaman and Nicobar Islands,36136.0,,
2020-09-03,Andaman and Nicobar Islands,37075.0,,3223.0
2020-09-04,Andaman and Nicobar Islands,37825.0,,3257.0
2020-09-05,Andaman and Nicobar Islands,38574.0,,3292.0
2020-09-06,Andaman and Nicobar Islands,39205.0,,3332.0
2020-09-07,Andaman and Nicobar Islands,39995.0,,3359.0
2020-09-08,Andaman and Nicobar Islands,41039.0,,3392.0
2020-09-09,Andaman and Nicobar Islands,41776.0,,3426.0
2020-09-10,Andaman and Nicobar Islands,42792.0,,3465.0
2020-09-11,Andaman and Nicobar Islands,43680.0,,3494.0
2020-09-12,Andaman and Nicobar Islands,44570.0,,3521.0
2020-09-13,Andaman and Nicobar Islands,45279.0,,3546.0
2020-09-14,Andaman and Nicobar Islands,45987.0,,3557.0
2020-09-15,Andaman and Nicobar Islands,46823.0,,3574.0
2020-09-16,Andaman and Nicobar Islands,47794.0,,3593.0
2020-09-17,Andaman and Nicobar Islands,48861.0,,3604.0
2020-09-18,Andaman and Nicobar Islands,50035.0,,3631.0
2020-09-19,Andaman and Nicobar Islands,50681.0,,3644.0
2020-09-20,Andaman and Nicobar Islands,51262.0,,3651.0
2020-09-21,Andaman and Nicobar Islands,52220.0,,3673.0
2020-09-22,Andaman and Nicobar Islands,52845.0,,3691.0
2020-09-23,Andaman and Nicobar Islands,53591.0,,3712.0
2020-09-24,Andaman and Nicobar Islands,52992.0,,3744.0
2020-09-25,Andaman and Nicobar Islands,55169.0,,3759.0
2020-09-26,Andaman and Nicobar Islands,56059.0,,3774.0
2020-09-27,Andaman and Nicobar Islands,56661.0,,3794.0
2020-09-28,Andaman and Nicobar Islands,57343.0,,3803.0
2020-09-29,Andaman and Nicobar Islands,58135.0,,3821.0
2020-09-30,Andaman and Nicobar Islands,58763.0,,3835.0
2020-10-01,Andaman and Nicobar Islands,59676.0,,3848.0
2020-10-02,Andaman and Nicobar Islands,60437.0,,3858.0
2020-10-03,Andaman and Nicobar Islands,61231.0,,3868.0
2020-10-04,Andaman and Nicobar Islands,62103.0,,3884.0
2020-10-05,Andaman and Nicobar Islands,63009.0,,3899.0
2020-10-06,Andaman and Nicobar Islands,63790.0,,3912.0
2020-10-07,Andaman and Nicobar Islands,65111.0,,3935.0
2020-10-08,Andaman and Nicobar Islands,66244.0,,3952.0
2020-10-09,Andaman and Nicobar Islands,67332.0,,3976.0
2020-10-10,Andaman and Nicobar Islands,68464.0,,3992.0
2020-10-11,Andaman and Nicobar Islands,69146.0,,4005.0
2020-10-12,Andaman and Nicobar Islands,69932.0,,4023.0
2020-10-13,Andaman and Nicobar Islands,70780.0,,4036.0
2020-10-14,Andaman and Nicobar Islands,71624.0,,4046.0
2020-10-15,Andaman and Nicobar Islands,72525.0,,4062.0
2020-10-16,Andaman and Nicobar Islands,73363.0,,4072.0
2020-10-17,Andaman and Nicobar Islands,74277.0,,4083.0
2020-10-18,Andaman and Nicobar Islands,75030.0,,4108.0
2020-10-19,Andaman and Nicobar Islands,75977.0,,4126.0
2020-10-20,Andaman and Nicobar Islands,77200.0,,4141.0
2020-10-21,Andaman and Nicobar Islands,78303.0,,4168.0
2020-10-22,Andaman and Nicobar Islands,79301.0,,4184.0
2020-10-23,Andaman and Nicobar Islands,80768.0,,4207.0
2020-10-24,Andaman and Nicobar Islands,81880.0,,4225.0
2020-10-25,Andaman and Nicobar Islands,82626.0,,4245.0
2020-10-26,Andaman and Nicobar Islands,83115.0,,4253.0
2020-10-27,Andaman and Nicobar Islands,84308.0,,4274.0
2020-10-28,Andaman and Nicobar Islands,85378.0,,4289.0
2020-10-29,Andaman and Nicobar Islands,86715.0,,4305.0
2020-10-30,Andaman and Nicobar Islands,87789.0,,4317.0
2020-10-31,Andaman and Nicobar Islands,88453.0,,4332.0
2020-11-01,Andaman and Nicobar Islands,89559.0,,4340.0
2020-11-02,Andaman and Nicobar Islands,90901.0,,4352.0
2020-11-03,Andaman and Nicobar Islands,92249.0,,4372.0
2020-11-04,Andaman and Nicobar Islands,93406.0,,4389.0
2020-11-05,Andaman and Nicobar Islands,94639.0,,4403.0
2020-11-06,Andaman and Nicobar Islands,96214.0,,4420.0
2020-11-07,Andaman and Nicobar Islands,97603.0,,4441.0
2020-11-08,Andaman and Nicobar Islands,98812.0,,4450.0
2020-11-09,Andaman and Nicobar Islands,100025.0,,4463.0
2020-11-10,Andaman and Nicobar Islands,101226.0,,4477.0
2020-11-11,Andaman and Nicobar Islands,102433.0,,4494.0
2020-11-12,Andaman and Nicobar Islands,103599.0,,4507.0
2020-11-13,Andaman and Nicobar Islands,104785.0,,4518.0
2020-11-14,Andaman and Nicobar Islands,105699.0,,4527.0
2020-11-15,Andaman and Nicobar Islands,106734.0,,4536.0
2020-04-02,Andhra Pradesh,1800.0,1175,132.0
2020-04-10,Andhra Pradesh,6374.0,6009,365.0
2020-04-11,Andhra Pradesh,6958.0,6577,381.0
2020-04-12,Andhra Pradesh,6958.0,6553,405.0
2020-04-13,Andhra Pradesh,8755.0,8323,432.0
2020-04-14,Andhra Pradesh,10505.0,10032,473.0
2020-04-15,Andhra Pradesh,11613.0,11088,525.0
2020-04-16,Andhra Pradesh,20235.0,19701,534.0
2020-04-17,Andhra Pradesh,20235.0,,572.0
2020-04-18,Andhra Pradesh,21450.0,20487,603.0
2020-04-19,Andhra Pradesh,26958.0,26311,647.0
2020-04-20,Andhra Pradesh,30733.0,30011,722.0
2020-04-21,Andhra Pradesh,35755.0,34998,757.0
2020-04-22,Andhra Pradesh,41512.0,40699,813.0
2020-04-23,Andhra Pradesh,48032.0,47139,893.0
2020-04-24,Andhra Pradesh,54338.0,53383,955.0
2020-04-25,Andhra Pradesh,61266.0,60250,1016.0
2020-04-26,Andhra Pradesh,68034.0,66937,1097.0
2020-04-27,Andhra Pradesh,74551.0,73374,1177.0
2020-04-28,Andhra Pradesh,80334.0,79075,1259.0
2020-04-29,Andhra Pradesh,88061.0,86729,1332.0
2020-04-30,Andhra Pradesh,94558.0,93155,1403.0
2020-05-01,Andhra Pradesh,102460.0,100997,1463.0
2020-05-02,Andhra Pradesh,108403.0,106878,1525.0
2020-05-03,Andhra Pradesh,114937.0,113354,1583.0
2020-05-04,Andhra Pradesh,125229.0,123579,1650.0
2020-05-05,Andhra Pradesh,133492.0,131775,1717.0
2020-05-06,Andhra Pradesh,141274.0,139497,1777.0
2020-05-07,Andhra Pradesh,149361.0,147528,1833.0
2020-05-08,Andhra Pradesh,156681.0,154794,1887.0
2020-05-09,Andhra Pradesh,165069.0,163139,1930.0
2020-05-10,Andhra Pradesh,173735.0,171755,1980.0
2020-05-11,Andhra Pradesh,181144.0,179126,2018.0
2020-05-12,Andhra Pradesh,191874.0,189823,2051.0
2020-05-13,Andhra Pradesh,201196.0,199059,2137.0
2020-05-14,Andhra Pradesh,210452.0,208247,2100.0
2020-05-15,Andhra Pradesh,219490.0,217183,2157.0
2020-05-17,Andhra Pradesh,238998.0,236618,2230.0
2020-05-18,Andhra Pradesh,248771.0,246279,2282.0
2020-05-19,Andhra Pradesh,258450.0,255961,2339.0
2020-05-20,Andhra Pradesh,267612.0,265052,2407.0
2020-05-21,Andhra Pradesh,275704.0,273099,2452.0
2020-05-22,Andhra Pradesh,284119.0,281452,2514.0
2020-05-23,Andhra Pradesh,292969.0,290255,2561.0
2020-05-24,Andhra Pradesh,304326.0,301529,2627.0
2020-05-25,Andhra Pradesh,314566.0,311680,2671.0
2020-05-26,Andhra Pradesh,322714.0,319731,2719.0
2020-05-27,Andhra Pradesh,332378.0,329261,2787.0
2020-05-28,Andhra Pradesh,342236.0,338991,2841.0
2020-05-29,Andhra Pradesh,353874.0,350544,2874.0
2020-05-30,Andhra Pradesh,363378.0,359917,2944.0
2020-05-31,Andhra Pradesh,372748.0,369177,3045.0
2020-06-01,Andhra Pradesh,383315.0,379639,3118.0
2020-06-02,Andhra Pradesh,395681.0,391890,3200.0
2020-06-03,Andhra Pradesh,403747.0,399776,3279.0
2020-06-04,Andhra Pradesh,413733.0,409621,3377.0
2020-06-05,Andhra Pradesh,423564.0,419314,3427.0
2020-06-06,Andhra Pradesh,436335.0,431875,3588.0
2020-06-07,Andhra Pradesh,454030.0,449371,3718.0
2020-06-08,Andhra Pradesh,468276.0,463463,3843.0
2020-06-09,Andhra Pradesh,483361.0,478332,3990.0
2020-06-10,Andhra Pradesh,498716.0,493469,4126.0
2020-06-11,Andhra Pradesh,510318.0,504889,4261.0
2020-06-12,Andhra Pradesh,522093.0,516457,4402.0
2020-06-13,Andhra Pradesh,536570.0,530712,4588.0
2020-06-14,Andhra Pradesh,552202.0,546050,4841.0
2020-06-15,Andhra Pradesh,567375.0,560919,5087.0
2020-06-16,Andhra Pradesh,583286.0,576566,5280.0
2020-06-17,Andhra Pradesh,598474.0,591403,5555.0
2020-06-18,Andhra Pradesh,612397.0,604901,5854.0
2020-06-19,Andhra Pradesh,630006.0,622045,7961.0
2020-06-20,Andhra Pradesh,652377.0,643925,8452.0
2020-06-21,Andhra Pradesh,676828.0,667899,8929.0
2020-06-22,Andhra Pradesh,693548.0,684176,9372.0
2020-06-23,Andhra Pradesh,714187.0,704353,9834.0
2020-06-24,Andhra Pradesh,750234.0,739903,10331.0
2020-06-25,Andhra Pradesh,769319.0,758435,10884.0
2020-06-26,Andhra Pradesh,791624.0,780135,11489.0
2020-06-27,Andhra Pradesh,816082.0,803797,12285.0
2020-06-28,Andhra Pradesh,841860.0,828762,13098.0
2020-06-29,Andhra Pradesh,872076.0,858185,13891.0
2020-06-30,Andhra Pradesh,890190.0,875595,14595.0
2020-07-01,Andhra Pradesh,918429.0,903177,15252.0
2020-07-02,Andhra Pradesh,932713.0,916616,16097.0
2020-07-03,Andhra Pradesh,971611.0,954677,16934.0
2020-07-04,Andhra Pradesh,996573.0,978874,17699.0
2020-07-05,Andhra Pradesh,1017140.0,998443,18697.0
2020-07-06,Andhra Pradesh,1033852.0,1013833,20019.0
2020-07-07,Andhra Pradesh,1050090.0,1028897,21197.0
2020-07-08,Andhra Pradesh,1077733.0,1055474,22259.0
2020-07-09,Andhra Pradesh,1094615.0,1070801,23814.0
2020-07-10,Andhra Pradesh,1115635.0,1090213,25422.0
2020-07-11,Andhra Pradesh,1136225.0,1108990,27235.0
2020-07-12,Andhra Pradesh,1153849.0,1124681,29168.0
2020-07-13,Andhra Pradesh,1173096.0,1141993,31103.0
2020-07-14,Andhra Pradesh,1195766.0,1162747,33019.0
2020-07-15,Andhra Pradesh,1217963.0,1182512,35451.0
2020-07-16,Andhra Pradesh,1240267.0,1202223,38044.0
2020-07-17,Andhra Pradesh,1260512.0,1219866,40646.0
2020-07-18,Andhra Pradesh,1284384.0,1239775,44609.0
2020-07-19,Andhra Pradesh,1315532.0,1265882,49650.0
2020-07-20,Andhra Pradesh,1349112.0,1295388,53724.0
2020-07-21,Andhra Pradesh,1386274.0,1327606,58668.0
2020-07-22,Andhra Pradesh,1435827.0,1371114,64713.0
2020-07-23,Andhra Pradesh,1493879.0,1421168,72711.0
2020-07-24,Andhra Pradesh,1541993.0,1461135,80858.0
2020-07-25,Andhra Pradesh,1595674.0,1507003,88671.0
2020-07-26,Andhra Pradesh,1643319.0,1547021,96298.0
2020-07-27,Andhra Pradesh,1686446.0,1584097,102349.0
2020-07-28,Andhra Pradesh,1749425.0,1639128,110297.0
2020-07-29,Andhra Pradesh,1820009.0,1699619,120390.0
2020-07-30,Andhra Pradesh,1890077.0,1759520,130557.0
2020-07-31,Andhra Pradesh,1951776.0,1810843,140933.0
2020-08-01,Andhra Pradesh,2012573.0,1862364,150209.0
2020-08-02,Andhra Pradesh,2065407.0,1906643,158764.0
2020-08-03,Andhra Pradesh,2110923.0,1944337,166586.0
2020-08-04,Andhra Pradesh,2175070.0,1998737,176333.0
2020-08-05,Andhra Pradesh,2235646.0,2049185,186461.0
2020-08-06,Andhra Pradesh,2299332.0,2102543,196789.0
2020-08-07,Andhra Pradesh,2362270.0,2155310,206960.0
2020-08-08,Andhra Pradesh,2424393.0,2207353,217040.0
2020-08-09,Andhra Pradesh,2487305.0,2259445,227860.0
2020-08-10,Andhra Pradesh,2534304.0,2298779,235525.0
2020-08-11,Andhra Pradesh,2592619.0,2348070,
2020-08-12,Andhra Pradesh,2649767.0,2395621,
2020-08-13,Andhra Pradesh,2705459.0,2441317,
2020-08-14,Andhra Pradesh,2758485.0,2485400,
2020-08-15,Andhra Pradesh,2812197.0,2530380,
2020-08-16,Andhra Pradesh,2860943.0,2571114,
2020-08-17,Andhra Pradesh,2905521.0,2608912,
2020-08-18,Andhra Pradesh,2961611.0,2658245,
2020-08-19,Andhra Pradesh,3019296.0,2703293,
2020-08-20,Andhra Pradesh,3074847.0,2749451,
2020-08-21,Andhra Pradesh,3129857.0,2794917,
2020-08-22,Andhra Pradesh,3191326.0,2846110,
2020-08-23,Andhra Pradesh,3238038.0,2884927,
2020-08-24,Andhra Pradesh,3292501.0,2930789,
2020-08-25,Andhra Pradesh,3356852.0,2985213,
2020-08-26,Andhra Pradesh,3418690.0,3036221,
2020-08-27,Andhra Pradesh,3479990.0,3086900,
2020-08-28,Andhra Pradesh,3541321.0,3137705,
2020-08-29,Andhra Pradesh,3603345.0,3189181,
2020-08-30,Andhra Pradesh,3666422.0,3241655,
2020-08-31,Andhra Pradesh,3722912.0,3288141,
2020-09-01,Andhra Pradesh,3782746.0,3337607,
2020-09-02,Andhra Pradesh,3843550.0,3388019,
2020-09-03,Andhra Pradesh,3905775.0,3442940,
2020-09-04,Andhra Pradesh,3965694.0,3492083,
2020-09-05,Andhra Pradesh,4035317.0,3547986,
2020-09-06,Andhra Pradesh,4107890.0,3612660,
2020-09-07,Andhra Pradesh,4166077.0,3659584,
2020-09-08,Andhra Pradesh,4237070.0,3719976,
2020-09-09,Andhra Pradesh,4308762.0,3781250,
2020-09-10,Andhra Pradesh,4380991.0,3843304,
2020-09-11,Andhra Pradesh,4452128.0,3904442,
2020-09-12,Andhra Pradesh,4527593.0,3970006,
2020-09-13,Andhra Pradesh,4599826.0,4032703,
2020-09-14,Andhra Pradesh,4661355.0,4086276,
2020-09-15,Andhra Pradesh,4731866.0,4147941,
2020-09-16,Andhra Pradesh,4806879.0,4214119,
2020-09-17,Andhra Pradesh,4884371.0,4282909,
2020-09-18,Andhra Pradesh,4959081.0,4349523,
2020-09-19,Andhra Pradesh,5033676.0,,
2020-09-20,Andhra Pradesh,5104131.0,,
2020-09-21,Andhra Pradesh,5160700.0,4528951,
2020-09-22,Andhra Pradesh,5229529.0,4590227,
2020-09-23,Andhra Pradesh,5302367.0,4655837,
2020-09-24,Andhra Pradesh,5378367.0,4723982,
2020-09-25,Andhra Pradesh,5447796.0,4786338,
2020-09-26,Andhra Pradesh,5523786.0,4855035,
2020-09-27,Andhra Pradesh,5600202.0,4924528,
2020-09-28,Andhra Pradesh,5666323.0,4985162,
2020-09-29,Andhra Pradesh,5734752.0,5047401,
2020-09-30,Andhra Pradesh,5806558.0,5113074,
2020-10-01,Andhra Pradesh,5878135.0,5177900,
2020-10-02,Andhra Pradesh,5948534.0,5241744,
2020-10-03,Andhra Pradesh,6021395.0,5308381,
2020-10-04,Andhra Pradesh,6094206.0,,
2020-10-05,Andhra Pradesh,6150351.0,5426839,
2020-10-06,Andhra Pradesh,6216240.0,5486933,
2020-10-07,Andhra Pradesh,6283009.0,5548582,
2020-10-08,Andhra Pradesh,6349953.0,5610234,
2020-10-09,Andhra Pradesh,6420474.0,5675610,
2020-10-10,Andhra Pradesh,6494099.0,,
2020-10-11,Andhra Pradesh,6569616.0,5813889,
2020-10-12,Andhra Pradesh,6630728.0,5871777,
2020-10-13,Andhra Pradesh,6702810.0,5939237,
2020-10-14,Andhra Pradesh,6772273.0,6004808,
2020-10-15,Andhra Pradesh,6846040.0,6074537,
2020-10-16,Andhra Pradesh,6920377.0,6144907,
2020-10-17,Andhra Pradesh,6991258.0,6212112,
2020-10-18,Andhra Pradesh,7066203.0,6283071,
2020-10-19,Andhra Pradesh,7127533.0,6341483,
2020-10-20,Andhra Pradesh,7196628.0,6407075,
2020-10-21,Andhra Pradesh,7271050.0,6477751,
2020-10-22,Andhra Pradesh,7347776.0,6550857,
2020-10-23,Andhra Pradesh,7428014.0,6627330,
2020-10-24,Andhra Pradesh,7502933.0,,
2020-10-25,Andhra Pradesh,7570352.0,,
2020-10-26,Andhra Pradesh,7621896.0,,
2020-10-27,Andhra Pradesh,7696653.0,6884828,
2020-10-28,Andhra Pradesh,7773681.0,6958907,
2020-10-29,Andhra Pradesh,7862459.0,7044780,
2020-10-30,Andhra Pradesh,7946860.0,7126295,
2020-10-31,Andhra Pradesh,8028905.0,,
2020-11-01,Andhra Pradesh,8117685.0,,
2020-11-02,Andhra Pradesh,8182266.0,7354384,
2020-11-03,Andhra Pradesh,8266800.0,7436069,
2020-11-04,Andhra Pradesh,8342265.0,7509057,
2020-11-05,Andhra Pradesh,8427629.0,7591676,
2020-11-06,Andhra Pradesh,8507230.0,7668867,
2020-11-07,Andhra Pradesh,8587312.0,,
2020-11-08,Andhra Pradesh,8663975.0,7821008,
2020-11-09,Andhra Pradesh,8725025.0,7880666,
2020-11-10,Andhra Pradesh,8792935.0,7946690,
2020-11-11,Andhra Pradesh,8863340.0,8015363,
2020-11-12,Andhra Pradesh,8940488.0,8090783,
2020-11-13,Andhra Pradesh,9021225.0,,
2020-11-14,Andhra Pradesh,9101048.0,,
2020-11-15,Andhra Pradesh,9154263.0,,
2020-11-16,Andhra Pradesh,9197307.0,8342543,
2020-04-09,Arunachal Pradesh,206.0,185,1.0
2020-04-14,Arunachal Pradesh,280.0,250,1.0
2020-04-17,Arunachal Pradesh,363.0,338,1.0
2020-04-18,Arunachal Pradesh,389.0,358,1.0
2020-04-20,Arunachal Pradesh,439.0,405,1.0
2020-04-21,Arunachal Pradesh,454.0,433,1.0
2020-04-22,Arunachal Pradesh,496.0,441,2.0
2020-04-24,Arunachal Pradesh,526.0,508,2.0
2020-04-26,Arunachal Pradesh,568.0,529,2.0
2020-04-27,Arunachal Pradesh,584.0,566,2.0
2020-04-28,Arunachal Pradesh,610.0,581,2.0
2020-04-29,Arunachal Pradesh,662.0,595,2.0
2020-04-30,Arunachal Pradesh,694.0,656,2.0
2020-05-01,Arunachal Pradesh,724.0,692,2.0
2020-05-03,Arunachal Pradesh,810.0,761,2.0
2020-05-04,Arunachal Pradesh,869.0,762,2.0
2020-05-05,Arunachal Pradesh,970.0,814,2.0
2020-05-06,Arunachal Pradesh,1039.0,857,2.0
2020-05-07,Arunachal Pradesh,1144.0,952,2.0
2020-05-08,Arunachal Pradesh,1354.0,1015,2.0
2020-05-09,Arunachal Pradesh,1597.0,1266,2.0
2020-05-10,Arunachal Pradesh,1823.0,1363,2.0
2020-05-11,Arunachal Pradesh,2078.0,1538,2.0
2020-05-12,Arunachal Pradesh,2257.0,1798,2.0
2020-05-13,Arunachal Pradesh,2483.0,1902,2.0
2020-05-14,Arunachal Pradesh,2677.0,2233,2.0
2020-05-15,Arunachal Pradesh,2942.0,2546,2.0
2020-05-16,Arunachal Pradesh,3163.0,2861,2.0
2020-05-17,Arunachal Pradesh,3349.0,2966,2.0
2020-05-18,Arunachal Pradesh,3662.0,3166,2.0
2020-05-19,Arunachal Pradesh,3941.0,3392,2.0
2020-05-20,Arunachal Pradesh,4157.0,3710,2.0
2020-05-21,Arunachal Pradesh,4438.0,3963,2.0
2020-05-22,Arunachal Pradesh,4844.0,4211,2.0
2020-05-23,Arunachal Pradesh,5206.0,4340,2.0
2020-05-24,Arunachal Pradesh,5428.0,4552,2.0
2020-05-25,Arunachal Pradesh,5997.0,4941,2.0
2020-05-26,Arunachal Pradesh,6319.0,5083,2.0
2020-05-27,Arunachal Pradesh,6436.0,5405,2.0
2020-05-28,Arunachal Pradesh,6984.0,5677,3.0
2020-05-29,Arunachal Pradesh,7488.0,6268,3.0
2020-05-30,Arunachal Pradesh,8017.0,6675,4.0
2020-05-31,Arunachal Pradesh,8283.0,7012,4.0
2020-06-01,Arunachal Pradesh,8768.0,7528,22.0
2020-06-02,Arunachal Pradesh,9079.0,7806,28.0
2020-06-03,Arunachal Pradesh,9551.0,7927,38.0
2020-06-04,Arunachal Pradesh,10025.0,8552,43.0
2020-06-05,Arunachal Pradesh,10790.0,8877,46.0
2020-06-06,Arunachal Pradesh,11261.0,9350,49.0
2020-06-07,Arunachal Pradesh,11516.0,9921,51.0
2020-06-08,Arunachal Pradesh,12012.0,10376,57.0
2020-06-09,Arunachal Pradesh,12455.0,10642,57.0
2020-06-10,Arunachal Pradesh,13035.0,11420,61.0
2020-06-11,Arunachal Pradesh,13479.0,11754,67.0
2020-06-12,Arunachal Pradesh,14047.0,12119,87.0
